id,title,topics_from_lda
PMC6560427,Understanding the Properties of Starch in Potatoes (Solanum tuberosum var. Agria) after Being Treated with Pulsed Electric Field Processing,"protein, 0.95006
agriculture, 0.04571
security, 0.00403"
PMC6570029,The economic value of mussel farming for uncertain nutrient removal in the Baltic Sea,"plant, 0.58290
agriculture, 0.22265
agriculture, 0.18200"
PMC6571617,"DRB1, DRB2 and DRB4 Are Required for Appropriate Regulation of the microRNA399/PHOSPHATE2 Expression Module in Arabidopsis thaliana","interaction science, 0.99420
protein, 0.00565
protein, 0.00002"
PMC6587683,"Effects of Winter Cover Crops on Rice Pests, Natural Enemies, and Grain Yield in a Rice Rotation System","agriculture, 0.99962
organism, 0.00005
class, 0.00005"
PMC6630288,"Waterlogging Causes Early Modification in the Physiological Performance, Carotenoids, Chlorophylls, Proline, and Soluble Sugars of Cucumber Plants","protein, 0.94090
agriculture, 0.04653
organism, 0.01229"
PMC6630593,Role of Silicon in Mediating Salt Tolerance in Plants: A Review,"protein, 0.75609
organism, 0.20150
agriculture, 0.02253"
PMC6630798,Responses of Tomato Plants under Saline Stress to Foliar Application of Copper Nanoparticles,"organism, 0.60933
protein, 0.39038
agriculture, 0.00004"
PMC6681330,Expression of miR159 Is Altered in Tomato Plants Undergoing Drought Stress,"protein, 0.84744
interaction science, 0.10246
organism, 0.04969"
PMC6681344,"The NAC Protein from Tamarix hispida, ThNAC7, Confers Salt and Osmotic Stress Tolerance by Increasing Reactive Oxygen Species Scavenging Capability","protein, 0.94707
organism, 0.03381
protein, 0.01886"
PMC6681968,"Isolation, cloning and expression of CCA1 gene in transgenic progeny plants of Japonica rice exhibiting altered morphological traits","interaction science, 0.86770
protein, 0.13217
protein, 0.00002"
PMC6724085,Phytolith Formation in Plants: From Soil to Cell,"protein, 0.89758
agriculture, 0.06515
agriculture, 0.02509"
PMC6730492,Responses to Hydric Stress in the Seed-Borne Necrotrophic Fungus Alternaria brassicicola,"protein, 0.99978
organism, 0.00003
agriculture, 0.00003"
PMC6736833,Soil temperature and hydric potential influences the monthly variations of soil Tuber aestivum DNA in a highly productive orchard,"interaction science, 0.77087
agriculture, 0.22784
organism, 0.00101"
